user,ch_num_sessions,ch_time_in_prob_sum,ch_time_in_video_sum,ch_ratio_clicks_weekend_day,ch_total_clicks_weekend,ch_total_clicks_weekday,ch_time_sessions_mean,ch_time_sessions_std,bo_delay_lecture,bo_reg_peak_dayhour,bo_reg_periodicity_m1,ma_competency_strength,ma_competency_anti,ma_content_anti,ma_student_shape,ma_student_speed,mu_speed_playback_mean,mu_frequency_action_relative_video_pause,wa_num_subs,wa_num_subs_correct,wa_num_subs_avg,wa_num_subs_perc_correct,la_pause_dur_mean,la_seek_len_std,la_pause_dur_std,la_time_speeding_up_mean,la_time_speeding_up_std,la_weekly_prop_watched_mean,la_weekly_prop_interrupted_mean,la_weekly_prop_interrupted_std,la_weekly_prop_replayed_mean,la_weekly_prop_replayed_std,la_frequency_action_video_play,grade,gender,category,year
30,2.9,51.2,9291.2,0.05,8.9,69.6,1090.037380952381,625.771887760156,22732.590984848484,49.28474330092601,3.082608741009903,0.15509259259259262,0.0,0.007575757575757576,0.13333333333333333,15.85,0.806173780487805,0.129928795920282,2.8,0.8,1.075,0.1683333333333333,41.031756147078724,18.73588807294686,86.08015265367592,3.7826086956521743,7.752119046844297,0.7412820512820513,0.1339224664224664,0.0,0.1441147741147741,0.0,0.16523368095319316,2.5,,,Y2-2018-19
31,2.6,845.0,4852.7,2.2228726708074533,15.8,75.8,1591.0800000000002,393.5629542930624,15881.053650793652,86.43831300030756,3.05524955900641,0.4583333333333333,0.018171866447728516,0.12818181818181817,0.445,11.3,0.8,0.16115734164012244,4.3,3.1,0.7016666666666667,0.46106060606060606,59.51000652198678,21.89012605577451,53.24649883153577,0.0,0.0,0.6062912087912088,0.11873015873015873,0.0,0.03333333333333333,0.0,0.2991848421506153,4.25,M,Suisse.PAM,Y2-2018-19
32,2.5,2103.4,5565.0,0.6421052631578947,4.9,100.4,14419.969047619048,561.790363509238,29158.427738095237,68.62819536299854,3.1674714987434265,0.330008658008658,0.003750218035932322,0.004545454545454545,0.2754545454545455,12.502380952380951,1.1622248478059296,0.1946820694596178,5.8,3.5,0.7627272727272727,0.33210526315789474,41.94140006964848,22.883493677043088,74.33070601560244,48.445756741368726,139.45334211854097,0.4453846153846154,0.07543040293040293,0.0,0.06916666666666667,0.0,0.2230540861291291,4.25,M,France,Y2-2018-19
33,1.8,843.8,4642.7,0.2315186403508772,41.5,104.1,2127.0833333333335,752.4797516117956,-4285.071212121212,139.83295335261386,2.744006820504953,0.03214285714285714,0.0,0.15316134316134317,0.05,4.8,0.7104369346304831,0.10629517880985265,0.4,0.2,0.2,0.05,48.05775506994449,34.65068463859963,84.04664874374083,7.8985119047619055,16.265788767186045,0.2146153846153846,0.055128205128205134,0.0,0.0,0.0,0.25710002185602737,5.0,F,France,Y2-2018-19
34,4.2,3073.2,9011.6,0.5232988395676574,83.3,74.7,1952.5823809523808,1543.7147371132962,-37797.365277777775,74.09160099354781,5.452132778074359,0.19893162393162395,0.20395113088535682,0.2543886158886159,0.12076923076923078,13.9475,1.1077838656400583,0.2568791539677374,7.1,2.7,1.1856410256410257,0.17511904761904762,98.1574152590329,74.0783689142522,213.11539324911178,34.445151782599794,82.16057858393485,0.3824114774114774,0.10388278388278387,0.0,0.0225,0.0,0.2506843729867093,4.0,M,France,Y2-2018-19
35,2.8,1935.1,3849.3,2.9285714285714284,0.7,95.8,1152.1416666666667,835.1781260048883,42516.445555555554,118.43781912521789,3.00512503791816,0.46654761904761904,0.0017094017094017096,0.005030303030303031,0.4376190476190477,8.76,1.1109940114243595,0.1303171808939294,3.8,2.5,0.770952380952381,0.4828571428571428,64.99511972238288,33.995553502400085,121.37822782040784,29.795959698300123,80.84010064200916,0.49709706959706956,0.16666666666666666,0.0,0.10484126984126982,0.0,0.24747689846841783,3.75,M,France,Y2-2018-19
36,5.7,4694.1,8333.3,4.631972049689441,27.2,168.8,1862.2886904761904,1006.6484929373648,-23648.795555555556,110.28090465367168,3.8291156186470077,0.6597498274672187,0.09531353786866782,0.08473797823797824,0.6102380952380952,65.84,1.1394096268053553,0.15825380343583487,7.9,4.6,1.2582142857142857,0.6528071928071928,50.91640576297409,118.40055243037231,93.10788865681828,48.649700943062605,136.89222287012404,0.627087912087912,0.17320818070818073,0.0,0.14884310134310136,0.0,0.29546346288878,4.75,M,Suisse.PAM,Y2-2018-19
37,3.0,2392.3,5123.7,1.902777777777778,3.0,116.2,2224.366666666667,936.8862906746981,-19947.73959235209,129.46643778668914,4.28568066277961,0.5291555990305989,0.004854700854700854,0.006601731601731602,0.45270146520146515,20.773333333333333,1.031889701207883,0.2495125021887235,17.1,8.9,1.5059462759462758,0.509704841941684,57.39488335738336,51.212993776528734,128.09745779932518,21.470227038183697,30.503048997270344,0.857948717948718,0.22012210012210015,0.0,0.02,0.0,0.2083542638127104,3.75,,,Y2-2018-19
38,4.6,4260.3,7376.7,21.33215382193985,43.5,81.8,54516.110833333325,968.5079020028301,60069.79801587302,79.22981689699229,6.022715390968797,0.3589033189033189,0.036590236094437775,0.06768398268398268,0.3193073593073593,26.693333333333335,1.1959667443168125,0.2746299664371505,6.4,3.7,0.9889826839826839,0.3319331983805668,71.08291765960732,118.78371668066748,152.94921035595763,26.278208041958045,69.74138201056732,0.41464285714285715,0.07773809523809525,0.0,0.03777777777777778,0.0,0.23759672697555737,5.5,M,France,Y2-2018-19
39,2.4,4716.7,8172.3,0.4606678082191781,22.6,250.9,4557.841666666666,2461.2759535309297,-35743.543650793654,145.04824037289504,3.708858071186124,0.6959027777777778,0.010196254173580579,0.02113841113841114,0.6833333333333333,67.925,1.1895832038180072,0.3803288021459227,12.6,8.8,1.1428571428571428,0.6905493371437644,26.640297172411557,75.38978301670909,33.4360339766331,27.526304109164947,72.06133354872395,0.8175824175824176,0.09184065934065935,0.0,0.025396825396825397,0.0,0.34128813236809136,6.0,M,Suisse.Autres,Y2-2018-19
40,1.2,116.0,2245.1,0.06422018348623854,16.7,10.8,656.325,258.9269023596982,43372.555555555555,34.423371620158875,1.2088379846196464,0.1388888888888889,0.008564102564102564,0.0292965367965368,0.03333333333333333,4.8,0.5,0.14687592101385205,2.1,0.6,0.6833333333333333,0.12352941176470589,99.12787644787645,11.89330601824378,142.04054781625103,0.0,0.0,0.1511111111111111,0.016666666666666666,0.0,0.01,0.0,0.1257390948592066,2.0,M,Suisse.Autres,Y2-2018-19
41,3.3,2178.5,6614.2,6.605960632892287,33.0,213.6,2663.665,785.6343313786313,-45951.32396825397,267.29651592804805,4.331421167887948,0.6311742424242424,0.06470228091236493,0.09669047619047619,0.6501515151515151,45.7,1.178145078820589,0.1329536327123727,4.8,3.6,0.9173484848484849,0.6515262515262515,95.85152573864292,66.22966418709635,155.50898632303742,12.60428470310895,43.31807825723708,0.66246336996337,0.2503113553113553,0.0,0.10765262515262515,0.0,0.4032593530420138,3.75,M,France,Y2-2018-19
42,3.6,2743.5,11581.9,0.40599999999999997,5.0,208.0,3913.53,1521.498421236558,-20648.03234126984,100.73440204527552,4.952309745098342,0.5715800865800865,0.03022080627122644,0.050909090909090904,0.47734487734487735,17.811904761904763,0.921749226006192,0.32988990186763933,12.6,6.7,1.4418398268398267,0.5228511839038155,66.44601215587522,95.57972660101208,99.4766659610527,9.749561403508773,23.11152878901627,0.8026373626373626,0.03967032967032967,0.0,0.03769230769230769,0.0,0.3337787182522738,5.0,M,France,Y2-2018-19
43,1.9,2582.2,4704.1,1.3975,8.4,113.1,2902.0333333333333,493.8702257714623,-18562.05873015873,121.02242721388129,2.8109706887857735,0.27418803418803417,0.049713642132361346,0.06816883116883117,0.2371184371184371,21.356666666666666,1.0447389116767372,0.23183210447816954,5.7,3.3,0.5759462759462759,0.2650841750841751,35.84519313385348,43.0334557793308,74.48814161456416,34.919676194385275,73.4659991876346,0.38333333333333336,0.057738095238095234,0.0,0.0125,0.0,0.22042682108282086,5.0,M,Suisse.Autres,Y2-2018-19
44,3.2,1386.7,9904.9,13.324141414141414,34.4,173.1,5002.016666666667,1328.026950059554,-15206.825476190477,140.6553938978282,3.7039512721781236,0.6130363155363155,0.015341605556869744,0.057223587223587224,0.5799062049062049,28.03333333333334,0.9106206876601244,0.3148652147225771,11.0,6.8,1.251969696969697,0.5998934398934399,55.15027251403111,23.122981251514187,84.44187715328596,12.184545454545454,19.112936364081442,0.7449725274725274,0.0873015873015873,0.0,0.09902319902319903,0.0,0.3281748374194676,2.5,F,Suisse.PAM,Y2-2018-19
45,1.7,3532.8,417.6,0.0,0.0,36.7,2211.085,271.2272232152201,17678.15,62.08438017792345,2.225297108831902,0.5587136243386243,0.0,0.0030303030303030303,0.5478174603174603,37.138333333333335,0.358495145631068,0.017857142857142856,11.5,6.7,1.2783730158730158,0.6071524064171123,1.725,20.895540624953476,1.1008519428152,7.185416666666667,13.897811422176835,0.07538461538461538,0.027692307692307693,0.0,0.0,0.0,0.02997572815533981,3.75,F,France,Y2-2018-19
46,3.2,1415.7,10773.5,0.4024115467038049,115.2,72.8,3862.8300000000004,936.2824311703195,-7539.150714285715,110.63239443006655,5.718534590185037,0.05,0.022115237253168288,0.21478471978471977,0.1,3.04,0.9,0.32173373493186946,0.1,0.1,0.1,0.1,55.44974456746839,13.455494959371308,113.82843088482646,0.0,0.0,0.2719017094017094,0.03611111111111111,0.0,0.034722222222222224,0.0,0.3435224135396876,4.5,F,France,Y2-2018-19
47,1.8,31.700000000000006,2561.8,1.02,1.5,55.9,802.245238095238,267.5161252505455,936.125,70.41603959574665,1.4585841293893396,0.06666666666666667,0.0,0.01845238095238095,0.06666666666666667,6.1000000000000005,0.7746925890374685,0.1949908649111342,0.4,0.3,0.13333333333333333,0.075,58.46231096151231,47.50291607867937,105.67092133934109,16.99244836775483,48.93201299356947,0.14133699633699634,0.06666666666666667,0.0,0.062051282051282054,0.0,0.2837852880641683,1.25,M,Suisse.PAM,Y2-2018-19
48,3.8,4750.1,13357.7,3.2071973921824566,110.8,268.3,3968.476666666667,1920.1659183097279,-24737.370476190477,175.01462827182618,6.205935800299466,0.3753030303030303,0.13571454525634968,0.15794922194922195,0.32,23.295833333333334,0.8646157585006637,0.3587657855018578,9.5,4.6,1.3563636363636364,0.3551905937200055,46.83760841546086,107.84230440824288,105.5020044742284,8.19314985682469,26.56103548741202,0.575576923076923,0.15531135531135531,0.0,0.05222222222222221,0.0,0.3269392053169617,4.75,M,Suisse.Autres,Y2-2018-19
